,raceId,year,round,circuitId,name_x,date,time_x,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,driverId,stop,lap,time_y,duration,milliseconds_x,driverRef,code,forename,surname,dob,nationality,resultId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds_y,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitRef,name_y,location,country,lat,lng,alt,url,circuit_type,circuit_type_num
10,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17,1,5,17:11:28,24.240,24240,webber,WEB,Mark,Webber,1976-08-27,Australian,21717,9,2,2,6,6,6,8.0,58,+46.800,5450025,45,4,1:29.732,212.753,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
11,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17,2,18,17:32:17,21.717,21717,webber,WEB,Mark,Webber,1976-08-27,Australian,21717,9,2,2,6,6,6,8.0,58,+46.800,5450025,45,4,1:29.732,212.753,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
12,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17,3,38,18:03:34,21.515,21515,webber,WEB,Mark,Webber,1976-08-27,Australian,21717,9,2,2,6,6,6,8.0,58,+46.800,5450025,45,4,1:29.732,212.753,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
13,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,12,17:22:34,23.251,23251,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,20782,6,5,5,4,4,4,12.0,58,+31.772,5402031,49,2,1:29.487,213.336,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
14,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,2,27,17:46:04,24.733,24733,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,20782,6,5,5,4,4,4,12.0,58,+31.772,5402031,49,2,1:29.487,213.336,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
15,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,42,18:09:08,24.181,24181,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,20782,6,5,5,4,4,4,12.0,58,+31.772,5402031,49,2,1:29.487,213.336,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
16,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,13,17:24:04,22.035,22035,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,21236,6,5,12,5,5,5,10.0,58,+21.565,5671130,52,7,1:30.277,211.469,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
17,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,2,34,17:57:06,21.910,21910,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,21236,6,5,12,5,5,5,10.0,58,+21.565,5671130,52,7,1:30.277,211.469,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
18,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,9,17:17:35,21.792,21792,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,21713,6,3,5,2,2,2,18.0,58,+12.451,5415676,53,3,1:29.560,213.162,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
19,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,2,20,17:35:01,21.606,21606,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,21713,6,3,5,2,2,2,18.0,58,+12.451,5415676,53,3,1:29.560,213.162,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
20,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,39,18:04:29,21.704,21704,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,21713,6,3,5,2,2,2,18.0,58,+12.451,5415676,53,3,1:29.560,213.162,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
21,900,2014,1,1,Australian Grand Prix,2014-03-16,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,12,17:27:55,22.887,22887,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,22133,6,14,5,4,4,4,12.0,57,+35.284,5613994,57,7,1:33.186,204.867,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
22,900,2014,1,1,Australian Grand Prix,2014-03-16,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,2,35,18:06:45,21.978,21978,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,22133,6,14,5,4,4,4,12.0,57,+35.284,5613994,57,7,1:33.186,204.867,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
23,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,12,16:26:14,21.796,21796,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,22937,1,14,11,\N,R,21,0.0,16,\N,\N,14,11,1:32.553,206.268,4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
24,969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,16,16:31:00,22.484,22484,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,23392,1,14,12,\N,R,14,0.0,50,\N,\N,48,17,1:30.077,211.938,76,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
25,989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,1,26,16:53:09,22.573,22573,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,23786,1,14,10,5,5,5,10.0,58,+27.886,5401169,57,7,1:26.978,219.489,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
26,1076,2022,3,1,Australian Grand Prix,2022-04-10,05:00:00,2022-04-08,03:00:00,2022-04-08,06:00:00,2022-04-09,03:00:00,2022-04-09,06:00:00,\N,\N,4,1,39,16:05:24,18.796,18796,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25462,214,14,10,17,17,17,0.0,57,\N,\N,57,2,1:20.846,235.024,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
27,1076,2022,3,1,Australian Grand Prix,2022-04-10,05:00:00,2022-04-08,03:00:00,2022-04-08,06:00:00,2022-04-09,03:00:00,2022-04-09,06:00:00,\N,\N,4,2,53,16:25:28,18.394,18394,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25462,214,14,10,17,17,17,0.0,57,\N,\N,57,2,1:20.846,235.024,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
28,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,4,1,8,15:17:48,15:26.940,926940,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25888,117,14,4,3,3,3,15.0,58,+0.769,9159140,53,4,1:20.476,236.105,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
29,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,4,2,55,16:41:42,14:34.306,874306,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25888,117,14,4,3,3,3,15.0,58,+0.769,9159140,53,4,1:20.476,236.105,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
30,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,4,3,57,17:02:27,30:45.073,1845073,alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,25888,117,14,4,3,3,3,15.0,58,+0.769,9159140,53,4,1:20.476,236.105,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
33,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,1,13,17:24:10,23.842,23842,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,20785,6,6,8,7,7,7,6.0,58,+1:25.186,5455445,55,1,1:28.947,214.631,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
34,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,2,31,17:52:28,24.500,24500,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,20785,6,6,8,7,7,7,6.0,58,+1:25.186,5455445,55,1,1:28.947,214.631,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
35,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,3,48,18:18:54,24.095,24095,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,20785,6,6,8,7,7,7,6.0,58,+1:25.186,5455445,55,1,1:28.947,214.631,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
36,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,1,11,17:21:08,22.313,22313,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,21248,6,6,16,\N,R,17,0.0,46,\N,\N,46,15,1:31.940,207.644,4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
37,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,2,28,17:48:15,22.528,22528,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,21248,6,6,16,\N,R,17,0.0,46,\N,\N,46,15,1:31.940,207.644,4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
38,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,3,37,18:03:05,22.103,22103,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,21248,6,6,16,\N,R,17,0.0,46,\N,\N,46,15,1:31.940,207.644,4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
39,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,1,8,17:16:00,21.754,21754,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,21715,6,4,4,4,4,4,12.0,58,+33.577,5436802,38,8,1:30.239,211.558,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
40,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,2,23,17:39:40,21.511,21511,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,21715,6,4,4,4,4,4,12.0,58,+33.577,5436802,38,8,1:30.239,211.558,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
41,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,3,36,18:00:04,21.509,21509,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,21715,6,4,4,4,4,4,12.0,58,+33.577,5436802,38,8,1:30.239,211.558,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
42,926,2015,1,1,Australian Grand Prix,2015-03-15,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,1,21,16:38:38,22.062,22062,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,22541,3,19,3,4,4,4,12.0,58,+38.196,5552263,50,6,1:31.719,208.144,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
43,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,1,11,16:24:32,21.550,21550,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,22921,3,19,6,5,5,5,10.0,57,+58.979,6554544,39,9,1:32.288,206.861,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
44,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,2,18,16:37:10,18:09.805,1089805,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,22921,3,19,6,5,5,5,10.0,57,+58.979,6554544,39,9,1:32.288,206.861,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
45,969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,13,1,20,16:36:44,21.568,21568,massa,MAS,Felipe,Massa,1981-04-25,Brazilian,23384,3,19,7,6,6,6,8.0,57,+1:23.386,5135058,49,9,1:28.045,216.830,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
46,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,22,1,13,17:24:29,23.643,23643,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,20794,3,11,17,\N,R,16,0.0,48,\N,\N,47,12,1:31.404,208.861,7,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
47,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,22,2,23,17:40:45,37.856,37856,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,20794,3,11,17,\N,R,16,0.0,48,\N,\N,47,12,1:31.404,208.861,7,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
48,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,22,3,28,17:49:07,16.892,16892,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,20794,3,11,17,\N,R,16,0.0,48,\N,\N,47,12,1:31.404,208.861,7,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
49,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,22,4,40,18:08:03,26.309,26309,barrichello,BAR,Rubens,Barrichello,1972-05-23,Brazilian,20794,3,11,17,\N,R,16,0.0,48,\N,\N,47,12,1:31.404,208.861,7,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
50,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,1,14,17:25:17,22.603,22603,vettel,VET,Sebastian,Vettel,1987-07-03,German,20779,9,1,1,1,1,1,25.0,58,1:29:30.259,5370259,44,4,1:29.844,212.488,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
51,841,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,2,36,17:59:17,24.036,24036,vettel,VET,Sebastian,Vettel,1987-07-03,German,20779,9,1,1,1,1,1,25.0,58,1:29:30.259,5370259,44,4,1:29.844,212.488,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
52,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,1,16,17:28:41,24.256,24256,vettel,VET,Sebastian,Vettel,1987-07-03,German,21233,9,1,6,2,2,2,18.0,58,+2.139,5651704,57,2,1:29.417,213.503,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
53,860,2012,1,1,Australian Grand Prix,2012-03-18,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,2,37,18:01:36,24.131,24131,vettel,VET,Sebastian,Vettel,1987-07-03,German,21233,9,1,6,2,2,2,18.0,58,+2.139,5651704,57,2,1:29.417,213.503,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
54,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,1,7,17:14:25,21.807,21807,vettel,VET,Sebastian,Vettel,1987-07-03,German,21714,9,1,1,3,3,3,15.0,58,+22.346,5425571,42,10,1:30.409,211.160,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
55,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,2,21,17:36:32,22.704,22704,vettel,VET,Sebastian,Vettel,1987-07-03,German,21714,9,1,1,3,3,3,15.0,58,+22.346,5425571,42,10,1:30.409,211.160,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
56,880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20,3,37,18:01:32,21.596,21596,vettel,VET,Sebastian,Vettel,1987-07-03,German,21714,9,1,1,3,3,3,15.0,58,+22.346,5425571,42,10,1:30.409,211.160,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit,2
