,raceId,year,round,circuitId,name_x,date,time_x,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,driverId,stop,lap,time_y,duration,milliseconds_x,driverRef,code,forename,surname,dob,nationality,resultId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds_y,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitRef,name_y,location,country,lat,lng,alt,url,circuit_type
105,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,2,18,16:36:58,18:09.303,1089303,rosberg,ROS,Nico,Rosberg,1985-06-27,German,22917,131,6,2,1,1,1,25.0,57,1:48:15.565,6495565,21,3,1:30.557,210.815,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
128,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18,1,15,16:31:07,22.616,22616,button,BUT,Jenson,Button,1980-01-19,British,22930,1,22,12,14,14,14,0.0,56,\N,\N,33,8,1:31.684,208.223,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
129,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18,2,18,16:37:31,18:04.466,1084466,button,BUT,Jenson,Button,1980-01-19,British,22930,1,22,12,14,14,14,0.0,56,\N,\N,33,8,1:31.684,208.223,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
130,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18,3,30,17:14:55,21.837,21837,button,BUT,Jenson,Button,1980-01-19,British,22930,1,22,12,14,14,14,0.0,56,\N,\N,33,8,1:31.684,208.223,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
147,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,815,1,16,16:32:37,24.719,24719,perez,PER,Sergio,Pérez,1990-01-26,Mexican,22929,10,11,9,13,13,13,0.0,57,+1:31.699,6587264,39,15,1:32.780,205.764,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
148,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,815,2,18,16:37:21,18:07.311,1087311,perez,PER,Sergio,Pérez,1990-01-26,Mexican,22929,10,11,9,13,13,13,0.0,57,+1:31.699,6587264,39,15,1:32.780,205.764,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
149,969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,815,1,17,16:32:20,22.045,22045,perez,PER,Sergio,Pérez,1990-01-26,Mexican,23385,10,11,10,7,7,7,6.0,56,\N,\N,56,10,1:28.336,216.115,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
150,989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,815,1,24,16:49:51,22.327,22327,perez,PER,Sergio,Pérez,1990-01-26,Mexican,23792,10,11,12,11,11,11,0.0,58,+46.817,5420100,51,11,1:27.633,217.849,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
151,1010,2019,1,1,Australian Grand Prix,2019-03-17,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,815,1,13,16:33:28,23.234,23234,perez,PER,Sergio,Pérez,1990-01-26,Mexican,24215,211,11,10,13,13,13,0.0,57,\N,\N,41,15,1:28.485,215.751,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
152,1076,2022,3,1,Australian Grand Prix,2022-04-10,05:00:00,2022-04-08,03:00:00,2022-04-08,06:00:00,2022-04-09,03:00:00,2022-04-09,06:00:00,\N,\N,815,1,20,15:34:33,17.434,17434,perez,PER,Sergio,Pérez,1990-01-26,Mexican,25447,9,11,3,2,2,2,18.0,58,+20.524,5287072,58,3,1:21.094,234.305,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
153,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,815,1,1,15:05:15,17.657,17657,perez,PER,Sergio,Pérez,1990-01-26,Mexican,25890,9,11,0,5,5,5,11.0,58,+3.320,9161691,53,1,1:20.235,236.814,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
154,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,815,2,2,15:07:26,17.814,17814,perez,PER,Sergio,Pérez,1990-01-26,Mexican,25890,9,11,0,5,5,5,11.0,58,+3.320,9161691,53,1,1:20.235,236.814,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
155,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,815,3,8,15:18:16,15:37.512,937512,perez,PER,Sergio,Pérez,1990-01-26,Mexican,25890,9,11,0,5,5,5,11.0,58,+3.320,9161691,53,1,1:20.235,236.814,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
156,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,815,4,55,16:41:53,14:36.462,876462,perez,PER,Sergio,Pérez,1990-01-26,Mexican,25890,9,11,0,5,5,5,11.0,58,+3.320,9161691,53,1,1:20.235,236.814,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
157,1100,2023,3,1,Australian Grand Prix,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-03-31,05:00:00,2023-04-01,01:30:00,2023-04-01,05:00:00,\N,\N,815,5,57,17:02:25,30:53.568,1853568,perez,PER,Sergio,Pérez,1990-01-26,Mexican,25890,9,11,0,5,5,5,11.0,58,+3.320,9161691,53,1,1:20.235,236.814,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
172,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,817,1,12,16:25:59,22.245,22245,ricciardo,RIC,Daniel,Ricciardo,1989-07-01,Australian,22920,9,3,8,4,4,4,12.0,57,+24.330,6519895,49,1,1:28.997,214.510,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
173,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,817,2,18,16:37:02,18:09.822,1089822,ricciardo,RIC,Daniel,Ricciardo,1989-07-01,Australian,22920,9,3,8,4,4,4,12.0,57,+24.330,6519895,49,1,1:28.997,214.510,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
174,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,817,3,42,17:32:47,21.981,21981,ricciardo,RIC,Daniel,Ricciardo,1989-07-01,Australian,22920,9,3,8,4,4,4,12.0,57,+24.330,6519895,49,1,1:28.997,214.510,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
175,989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,817,1,26,16:52:59,21.440,21440,ricciardo,RIC,Daniel,Ricciardo,1989-07-01,Australian,23785,9,3,8,4,4,4,12.0,58,+7.069,5380352,54,1,1:25.945,222.128,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
176,1010,2019,1,1,Australian Grand Prix,2019-03-17,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,817,1,1,16:15:30,33.027,33027,ricciardo,RIC,Daniel,Ricciardo,1989-07-01,Australian,24221,4,3,12,\N,R,19,0.0,28,\N,\N,18,19,1:29.848,212.478,137,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
177,1076,2022,3,1,Australian Grand Prix,2022-04-10,05:00:00,2022-04-08,03:00:00,2022-04-08,06:00:00,2022-04-09,03:00:00,2022-04-09,06:00:00,\N,\N,817,1,21,15:36:06,18.150,18150,ricciardo,RIC,Daniel,Ricciardo,1989-07-01,Australian,25451,1,3,7,6,6,6,8.0,58,+53.737,5320285,54,9,1:22.451,230.449,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
191,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8,1,16,16:32:03,22.508,22508,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,22934,6,7,4,\N,R,18,0.0,21,\N,\N,21,5,1:30.701,210.480,5,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
192,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8,2,18,16:37:00,18:09.365,1089365,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,22934,6,7,4,\N,R,18,0.0,21,\N,\N,21,5,1:30.701,210.480,5,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
193,969,2017,1,1,Australian Grand Prix,2017-03-26,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8,1,26,16:45:16,22.033,22033,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,23382,6,7,4,4,4,4,12.0,57,+22.393,5074065,56,1,1:26.538,220.605,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
194,989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8,1,18,16:40:07,21.421,21421,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,23784,6,7,2,3,3,3,15.0,58,+6.309,5379592,57,2,1:26.373,221.027,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
195,1010,2019,1,1,Australian Grand Prix,2019-03-17,05:10:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8,1,12,16:31:50,23.299,23299,raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish,24210,51,7,9,8,8,8,4.0,57,\N,\N,52,11,1:28.270,216.277,11,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
212,948,2016,1,1,Australian Grand Prix,2016-03-20,05:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,807,1,16,16:32:30,22.167,22167,hulkenberg,HUL,Nico,Hülkenberg,1987-08-19,German,22923,10,27,10,7,7,7,6.0,57,+1:14.199,6569764,49,16,1:32.833,205.646,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,street circuit
