ID,Disbursement Date,Loan Status,Loan Amount,Outstanding Balance,Outstanding Principal,Interest Rate,Loan Term (Months),Date of Birth,Gender,Province,Residential Status,Stated Income on application,"Qualified / Verified
Income",Aptitude for change Score,Financial Literacy Score,Self Assessments,Quiz Count,Mood Count,Inspiration Count,Total Activies,Average total activities per month,Average activities per day,Debt_to_Income_Ratio,Remaining_Loan_Percentage,Loan_to_Income_Ratio,Monthly_Repayment_Burden,Consistency_Score,Age,Elapsed_Months,Remaining_Tenure,Cluster
11036,2023-03-20,Active,12000.0,15835.69,10027.2,0.2799,48,1962-08-06,FEMALE,ON,LIVE WITH FAMILY,89285,89300,2.33,4.0,19.0,155.0,120.0,60.0,354.0,18.6643,0.6221,0.11228667413213887,1.3196408333333334,0.1343784994400896,329.91020833333334,0.0333310116104006,62,20,28,0
11244,2023-04-18,Active,13000.0,17701.08,11517.82,0.2499,45,1991-04-26,MALE,ON,HOME OWNER,70000,70000,4.67,4.0,18.0,148.0,0.0,0.0,166.0,9.2222,0.3074,0.16454028571428572,1.3616215384615387,0.18571428571428572,393.3573333333334,0.033332610440025154,33,19,26,0
11247,2023-04-14,Active,23000.0,31074.27,19088.18,0.2999,49,1990-04-05,MALE,BC,HOME OWNER,107600,106000,0.83,1.0,6.0,17.0,5.0,1.0,29.0,1.5993,0.0533,0.18007716981132077,1.3510552173913044,0.2169811320754717,634.1687755102041,0.03332708059776152,34,19,30,0
11248,2023-04-15,Active,5900.0,8129.98,4993.96,0.2999,60,1977-03-02,FEMALE,AB,RENTER,52000,52000,3.83,4.0,7.0,57.0,10.0,1.0,75.0,4.1436,0.1381,0.09603769230769231,1.3779627118644067,0.11346153846153846,135.49966666666666,0.033328506612607396,47,19,41,0
11250,2023-05-11,Active,9200.0,12358.2,7794.7,0.2699,60,1968-08-10,FEMALE,ON,RENTER,55000,64700,2.83,2.0,16.0,130.0,3.0,2.0,151.0,8.7621,0.2921,0.12047449768160741,1.3432826086956522,0.14219474497681608,205.97,0.0333367571700848,56,18,42,0
11272,2023-04-17,Active,15300.0,20554.71,12746.99,0.2999,60,1988-12-02,FEMALE,ON,LIVE WITH FAMILY,75000,70000,3.83,4.0,18.0,144.0,20.0,16.0,198.0,10.9797,0.366,0.18209985714285715,1.3434450980392156,0.21857142857142858,342.57849999999996,0.03333424410503019,36,19,41,0
11274,2023-04-19,Active,11470.0,14839.17,9473.16,0.2799,60,1977-07-15,MALE,PEI,HOME OWNER,80000,77000,3.83,5.0,8.0,31.0,6.0,0.0,45.0,2.5046,0.0835,0.12302805194805194,1.2937375762859633,0.14896103896103896,247.3195,0.0333386568713567,47,19,41,0
11332,2023-04-18,Active,23900.0,33335.81,20477.06,0.2999,50,1979-11-30,MALE,BC,RENTER,80000,90000,3.5,3.0,18.0,148.0,1.0,1.0,168.0,9.3333,0.3111,0.2275228888888889,1.3948037656903765,0.26555555555555554,666.7162,0.03333226190093536,45,19,31,0
11345,2023-04-24,Active,12502.93,15468.3,10169.47,0.2599,60,1991-04-02,FEMALE,ON,LIVE WITH FAMILY,46000,46000,4.83,4.0,18.0,140.0,0.0,1.0,159.0,8.9326,0.2978,0.2210754347826087,1.2371740064128967,0.27180282608695655,257.805,0.03333855764279157,33,19,41,0
11392,2023-04-26,Active,7800.0,10646.53,6571.04,0.2999,60,1977-10-17,MALE,AB,RENTER,44000,55800,1.0,5.0,16.0,140.0,5.0,6.0,167.0,9.4173,0.3139,0.1177605734767025,1.3649397435897437,0.13978494623655913,177.44216666666668,0.03333227145784886,47,19,41,0
11565,2023-04-28,Active,22300.0,16099.43,9628.3,0.2999,56,1995-07-11,MALE,AB,HOME OWNER,68000,68000,4.0,4.0,12.0,104.0,0.0,0.0,116.0,6.566,0.2189,0.14159264705882352,0.721947533632287,0.32794117647058824,287.4898214285714,0.03333840999086202,29,18,38,0
11681,2023-06-15,Active,15300.0,21432.52,13184.54,0.2799,60,1984-09-03,FEMALE,ON,LIVE WITH FAMILY,68406,68400,4.33,5.0,4.0,20.0,2.0,0.0,26.0,1.6183,0.0539,0.19275643274853801,1.4008183006535948,0.2236842105263158,357.20866666666666,0.033306556262744855,40,17,43,0
11711,2023-05-09,Active,20000.0,25652.9,16545.78,0.2699,60,1992-09-01,FEMALE,MB,RENTER,64230,64300,4.17,3.0,17.0,136.0,28.0,12.0,193.0,11.1561,0.3719,0.25732161741835147,1.282645,0.3110419906687403,427.54833333333335,0.03333602244511971,32,18,42,3
11747,2023-05-12,Active,10039.24,7689.55,6283.33,0.2599,36,1969-11-24,MALE,AB,HOME OWNER,90000,84800,4.83,2.0,10.0,72.0,0.0,0.0,82.0,4.7674,0.1589,0.07409587264150944,0.7659494144975117,0.11838726415094339,213.59861111111113,0.033330536560808824,55,18,18,0
11788,2023-05-15,Active,19000.0,27042.08,16291.62,0.2999,60,1983-04-10,MALE,AB,RENTER,54000,54000,0.0,3.0,17.0,140.0,99.0,22.0,278.0,16.2573,0.5419,0.30169666666666667,1.4232673684210526,0.35185185185185186,450.70133333333337,0.03333271822504352,41,18,42,3
11807,2023-05-15,Active,20000.0,26571.71,16811.56,0.2799,60,1985-03-25,FEMALE,NFLD,LIVE WITH FAMILY,50595,55600,3.5,3.0,15.0,138.0,1.0,4.0,158.0,9.2398,0.308,0.3023661870503597,1.3285855,0.3597122302158273,442.8618333333333,0.03333405484967207,39,18,42,3
11872,2023-05-19,Active,13200.0,18876.02,11485.62,0.2999,54,1979-06-21,FEMALE,AB,RENTER,93600,93600,4.67,3.0,17.0,138.0,5.0,0.0,160.0,9.4303,0.3143,0.12270961538461539,1.430001515151515,0.14102564102564102,349.5559259259259,0.03332873821617552,45,18,36,0
12007,2023-05-29,Active,21600.0,18143.47,14390.5,0.2899,20,1961-03-18,MALE,ON,RENTER,89000,88000,3.0,4.0,5.0,39.0,13.0,0.0,57.0,3.4269,0.1142,0.1635284090909091,0.839975462962963,0.24545454545454545,907.1735000000001,0.03332457906562783,63,17,3,0
12020,2023-06-07,Active,15000.0,20451.82,12702.43,0.2799,60,1967-02-27,MALE,ON,RENTER,79935,80000,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0612,0.002,0.158780375,1.3634546666666667,0.1875,340.8636666666667,0.032679738562091505,57,17,43,0
12082,2023-05-31,Active,14500.0,18060.51,11953.03,0.2499,60,1990-05-21,MALE,ON,HOME OWNER,99192,88200,3.5,4.0,1.0,1.0,0.0,0.0,2.0,0.1207,0.004,0.1355218820861678,1.2455524137931033,0.16439909297052155,301.00849999999997,0.033140016570008285,34,17,43,0
12088,2023-05-31,Active,14200.0,21351.2,12930.54,0.2999,50,1972-02-21,FEMALE,AB,HOME OWNER,57200,57200,2.83,5.0,18.0,129.0,15.0,2.0,164.0,9.8994,0.33,0.2260583916083916,1.503605633802817,0.24825174825174826,427.024,0.03333535365779745,52,17,33,0
12106,2023-06-08,Active,19800.0,22744.09,15181.39,0.2999,43,1985-07-04,FEMALE,AB,RENTER,75000,75000,3.67,1.0,13.0,115.0,0.0,0.0,128.0,7.8528,0.2618,0.20241853333333332,1.1486914141414142,0.264,528.9323255813954,0.03333842705786471,39,17,26,0
12112,2023-06-09,Active,24000.0,34386.72,20923.56,0.2999,48,1977-01-18,MALE,ON,RENTER,109050,109000,0.0,3.0,16.0,130.0,0.0,0.0,146.0,8.9754,0.2992,0.19195926605504587,1.43278,0.22018348623853212,716.39,0.0333355616462776,47,17,31,0
12121,2023-06-12,Active,13900.0,19630.11,11944.65,0.2999,60,1991-05-05,MALE,ON,LIVE WITH FAMILY,66000,66000,3.67,4.0,16.0,113.0,0.0,0.0,129.0,7.9794,0.266,0.18097954545454545,1.4122381294964028,0.2106060606060606,327.1685,0.03333583978745269,33,17,43,0
12263,2023-06-12,Active,14600.0,20266.83,12390.51,0.2999,60,1986-12-30,FEMALE,BC,RENTER,54880,54900,3.17,4.0,14.0,129.0,34.0,3.0,180.0,11.134,0.3711,0.22569234972677596,1.3881390410958905,0.2659380692167577,337.7805,0.033330339500628706,38,17,43,0
12279,2023-06-15,Active,9100.0,12747.6,7841.79,0.2799,60,1984-06-11,FEMALE,ON,RENTER,48000,47900,3.83,5.0,4.0,22.0,0.0,0.0,26.0,1.6183,0.0539,0.1637116910229645,1.400835164835165,0.18997912317327767,212.46,0.033306556262744855,40,17,43,0
12318,2023-06-15,Active,12500.0,16864.46,10574.51,0.2799,60,1971-08-02,MALE,ON,RENTER,66500,66500,3.0,5.0,16.0,130.0,2.0,0.0,148.0,9.2116,0.3071,0.1590151879699248,1.3491567999999998,0.18796992481203006,281.0743333333333,0.033338399409440264,53,17,43,0
12325,2023-06-21,Active,9600.0,12981.2,8139.85,0.2799,60,1989-08-26,MALE,ON,RENTER,72000,72000,2.67,2.0,12.0,62.0,3.0,1.0,78.0,4.916,0.1639,0.11305347222222223,1.3522083333333335,0.13333333333333333,216.35333333333335,0.03334011391375101,35,17,43,0
12429,2023-07-05,Active,5900.0,7619.01,4981.41,0.2499,60,1983-10-28,MALE,ON,RENTER,50000,50000,3.0,2.0,15.0,114.0,1.0,0.0,130.0,8.4416,0.2814,0.0996282,1.2913576271186442,0.118,126.9835,0.03333491281273692,41,16,44,0
12593,2023-06-23,Active,6151.7,8583.23,5171.07,0.2999,60,1988-02-25,MALE,AB,LIVE WITH FAMILY,39000,39000,5.0,3.0,16.0,135.0,0.0,0.0,151.0,9.557,0.3186,0.13259153846153846,1.3952614724385128,0.15773589743589744,143.05383333333333,0.03333682117819399,36,17,43,0
13031,2023-07-12,Active,15500.0,22337.26,13464.42,0.2999,60,1980-10-28,MALE,ON,RENTER,80000,80000,4.33,3.0,18.0,121.0,0.0,0.0,139.0,9.1648,0.3055,0.16830525,1.4411135483870967,0.19375,372.28766666666667,0.033334060754189945,44,16,44,0
13141,2023-07-14,Active,20000.0,28923.09,17249.24,0.2999,60,1994-06-24,MALE,ON,RENTER,97000,97000,4.0,2.0,5.0,5.0,0.0,0.0,10.0,0.6623,0.0221,0.17782721649484537,1.4461545,0.20618556701030927,482.0515,0.03336856409482108,30,16,44,0
13178,2023-07-25,Active,6000.0,8912.92,5262.22,0.2999,60,1986-08-06,MALE,AB,RENTER,100000,67000,4.67,2.0,2.0,38.0,1.0,1.0,42.0,2.8507,0.095,0.07854059701492537,1.4854866666666666,0.08955223880597014,148.54866666666666,0.03332514820921178,38,16,44,0
13203,2023-09-11,Active,10700.0,15330.79,9469.65,0.2699,60,1974-08-31,MALE,ON,LIVE WITH FAMILY,82000,82000,4.33,5.0,13.0,102.0,8.0,1.0,124.0,9.4416,0.3147,0.11548353658536585,1.4327841121495328,0.13048780487804879,255.51316666666668,0.0333312150482969,50,14,46,0
13356,2023-07-31,Active,8700.0,11884.38,7468.22,0.2699,60,1990-06-19,MALE,NFLD,RENTER,90000,85900,4.17,2.0,12.0,71.0,3.0,1.0,87.0,5.9862,0.1995,0.0869408614668219,1.3660206896551723,0.10128055878928988,198.07299999999998,0.033326651297985364,34,15,45,0
13385,2023-07-19,Active,7600.0,10917.11,6580.47,0.2999,60,2000-12-05,FEMALE,AB,RENTER,42000,42000,0.83,1.0,1.0,17.0,0.0,0.0,18.0,1.2054,0.0402,0.15667785714285715,1.4364618421052633,0.18095238095238095,181.95183333333335,0.03334992533598805,24,16,44,0
13443,2023-08-04,Active,9500.0,13184.55,8162.79,0.2699,60,1973-03-12,MALE,ON,RENTER,84000,82000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09954621951219512,1.3878473684210526,0.11585365853658537,219.74249999999998,0.0,51,15,45,2
13535,2023-07-28,Active,9798.22,14303.88,8621.92,0.2999,52,1975-07-14,MALE,NB,RENTER,44309,43300,3.0,3.0,13.0,104.0,10.0,7.0,134.0,9.1572,0.3052,0.19912055427251732,1.4598447473112464,0.2262868360277136,275.07461538461536,0.03332896518586468,49,15,37,0
13580,2023-08-04,Active,12100.0,17659.11,10692.22,0.2799,52,1981-06-03,FEMALE,BC,RENTER,39240,40000,2.83,4.0,13.0,110.0,8.0,3.0,134.0,9.3056,0.3102,0.2673055,1.4594305785123967,0.3025,339.59826923076923,0.03333476616231086,43,15,37,3
13616,2023-08-04,Active,9000.0,12726.92,7839.37,0.2799,60,1992-10-14,MALE,BC,RENTER,42640,42700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18359180327868851,1.4141022222222221,0.2107728337236534,212.11533333333333,0.0,32,15,45,2
13684,2023-08-22,Active,19500.0,28280.28,17072.62,0.2899,60,1967-10-23,MALE,NS,RENTER,62500,45500,4.67,3.0,7.0,110.0,9.0,3.0,129.0,9.3478,0.3116,0.37522241758241753,1.4502707692307693,0.42857142857142855,471.33799999999997,0.033334046513618175,57,15,45,3
13710,2023-08-18,Active,11700.0,8419.05,5245.42,0.2699,60,1983-05-24,MALE,ON,RENTER,100000,96000,3.67,3.0,14.0,112.0,15.0,10.0,151.0,10.8373,0.3612,0.054639791666666666,0.719576923076923,0.121875,140.3175,0.03332933479741264,41,15,45,0
14038,2023-08-30,Active,7700.0,11446.46,7178.75,0.2499,48,1993-04-26,FEMALE,ON,RENTER,37880,37200,0.0,3.0,13.0,110.0,2.0,0.0,125.0,9.2365,0.3079,0.1929771505376344,1.4865532467532467,0.20698924731182797,238.46791666666664,0.03333513776863531,31,14,34,0
14063,2023-08-30,Active,16700.0,24614.26,14629.5,0.2999,60,1962-09-23,FEMALE,ON,RENTER,49647,49900,3.17,5.0,14.0,113.0,23.0,12.0,162.0,11.9704,0.399,0.2931763527054108,1.4739077844311377,0.3346693386773547,410.23766666666666,0.03333221947470427,62,14,46,3
14115,2023-09-14,Active,20000.0,31078.53,17985.18,0.2999,60,1974-05-16,FEMALE,SK,RENTER,90000,90000,2.83,4.0,13.0,109.0,0.0,0.0,122.0,9.3606,0.312,0.19983533333333334,1.5539265,0.2222222222222222,517.9755,0.033331196718159095,50,14,46,0
14127,2023-09-28,Active,9700.0,9637.62,6025.3,0.2599,60,1992-12-25,MALE,AB,RENTER,50000,39500,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.3183,0.0106,0.1525392405063291,0.9935690721649485,0.24556962025316456,160.627,0.0333019164310399,32,13,47,0
14214,2023-09-15,Active,16000.0,22812.65,14091.48,0.2699,60,1975-07-23,MALE,ON,RENTER,69888,69900,2.83,5.0,13.0,101.0,3.0,1.0,118.0,9.0769,0.3026,0.20159484978540773,1.425790625,0.22889842632331903,380.21083333333337,0.03333737289162599,49,14,46,0
14241,2023-09-12,Active,9500.0,11130.51,6441.28,0.2999,60,1979-04-09,MALE,ON,RENTER,75000,75000,3.83,3.0,13.0,103.0,2.0,0.0,118.0,9.0076,0.3003,0.08588373333333332,1.1716326315789474,0.12666666666666668,185.5085,0.03333851414361206,45,14,46,0
14251,2023-09-14,Active,3224.55,4720.85,2754.91,0.2999,60,1985-12-26,MALE,ON,RENTER,130000,130000,5.0,2.0,0.0,7.0,1.0,1.0,9.0,0.6905,0.023,0.021191615384615385,1.4640337411421749,0.02480423076923077,78.68083333333334,0.0333091962346126,39,14,46,0
14256,2023-09-27,Active,20500.0,30352.32,18146.47,0.2799,60,1986-04-12,MALE,ON,RENTER,82806,73600,2.67,3.0,9.0,15.0,0.0,0.0,24.0,1.9048,0.0635,0.24655529891304348,1.480600975609756,0.27853260869565216,505.872,0.03333683326333473,38,13,47,0
14327,2023-10-11,Active,12200.0,18573.55,10886.51,0.2999,60,1984-01-23,FEMALE,ON,RENTER,60000,63300,3.17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719827804107425,1.522422131147541,0.19273301737756715,309.55916666666667,0.0,40,13,47,2
14380,2023-09-25,Active,20000.0,1876.57,1103.93,0.2899,60,1976-07-12,FEMALE,AB,RENTER,101000,101000,4.17,4.0,3.0,2.0,0.0,0.0,5.0,0.3947,0.0132,0.01093,0.0938285,0.19801980198019803,31.276166666666665,0.03344312135799341,48,13,47,1
14421,2023-10-03,Active,11000.0,16779.87,9869.43,0.2899,60,1997-06-12,MALE,BC,RENTER,157250,157250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06276267090620032,1.5254427272727271,0.06995230524642289,279.6645,0.0,27,13,47,2
14427,2023-09-28,Active,20000.0,30851.31,17853.74,0.2999,60,1988-01-14,MALE,ON,RENTER,41516,41600,4.83,0.0,13.0,103.0,1.0,2.0,119.0,9.4695,0.3156,0.42917644230769236,1.5425655,0.4807692307692308,514.1885,0.03332805322350705,36,13,47,3
14496,2023-10-06,Active,20000.0,32518.85,18632.62,0.2999,55,1983-02-20,MALE,NB,RENTER,85000,78000,3.0,4.0,12.0,93.0,0.0,0.0,105.0,8.5366,0.2846,0.23887974358974357,1.6259424999999998,0.2564102564102564,591.2518181818182,0.03333879999062859,41,13,42,0
14506,2023-10-04,Active,20200.0,30396.46,18104.42,0.2799,60,1975-03-21,MALE,MB,HOME OWNER,85000,79600,4.5,5.0,0.0,1.0,1.0,1.0,3.0,0.2426,0.0081,0.22744246231155776,1.5047752475247524,0.2537688442211055,506.60766666666666,0.03338829348722176,49,13,47,0
14654,2023-10-23,Active,18400.0,24126.23,15853.96,0.2999,48,1991-03-09,MALE,ON,LIVE WITH FAMILY,44382,51000,1.0,2.0,11.0,93.0,6.0,5.0,115.0,9.8011,0.3267,0.3108619607843137,1.311208152173913,0.3607843137254902,502.6297916666667,0.03333299323545316,33,13,35,3
14670,2023-10-18,Active,20000.0,28352.12,17793.64,0.2499,60,1976-11-22,MALE,ON,RENTER,85000,85000,3.33,5.0,11.0,94.0,12.0,2.0,119.0,10.0,0.3333,0.2093369411764706,1.417606,0.23529411764705882,472.5353333333333,0.03333,48,13,47,0
14733,2023-10-23,Active,14000.0,19576.18,12391.66,0.2499,60,1967-03-17,MALE,ON,RENTER,72000,71000,4.17,1.0,0.0,1.0,0.0,0.0,1.0,0.0852,0.0028,0.17453042253521125,1.3982985714285714,0.19718309859154928,326.2696666666667,0.03286384976525822,57,13,47,0
14747,2023-10-30,Active,21200.0,29951.3,18883.67,0.2499,60,1967-08-19,MALE,ON,RENTER,89905,89000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2121760674157303,1.4127971698113206,0.23820224719101124,499.18833333333333,0.0,57,12,48,2
14800,2023-11-01,Active,9500.0,13466.67,8490.63,0.2499,60,1975-12-21,MALE,MB,RENTER,34840,34900,3.67,3.0,14.0,84.0,30.0,15.0,143.0,12.5073,0.4169,0.24328452722063035,1.4175442105263159,0.2722063037249284,224.4445,0.03333253380026065,49,12,48,0
14818,2023-11-06,Active,20000.0,28256.8,17814.9,0.2499,60,1975-10-02,MALE,NS,HOME OWNER,80000,142200,4.33,2.0,11.0,33.0,6.0,3.0,53.0,4.7041,0.1568,0.12528059071729958,1.4128399999999999,0.14064697609001406,470.94666666666666,0.0333326247316171,49,12,48,0
