customer_id,True_Repayment_Risk,Predicted_Repayment_Risk,Predicted_Repayment_Probability
14256,Low Risk,Low Risk,0.038356403532676255
14327,Low Risk,Low Risk,0.030789422463159303
14427,Low Risk,Low Risk,0.27549140294265323
1449,High Risk,Low Risk,0.20928922628104044
14496,Low Risk,Low Risk,0.2822301436405723
14607,Low Risk,Low Risk,0.026343454637881136
1461,Low Risk,Low Risk,0.013172819858733172
1463,Low Risk,Low Risk,0.2516863096554797
14654,Low Risk,Low Risk,0.15169401391706472
14670,Low Risk,Low Risk,0.09082236835755289
1469,Low Risk,Low Risk,0.4536958162530354
14757,Low Risk,Low Risk,0.012562869530974886
1477,High Risk,Low Risk,0.43785402907876664
1478,Low Risk,Low Risk,0.08030813647346907
1480,Low Risk,Low Risk,0.006003556834263613
14800,Low Risk,Low Risk,0.03317236025306703
14818,Low Risk,Low Risk,0.20101579615362128
14841,Low Risk,Low Risk,0.357665562887366
14847,Low Risk,Low Risk,0.0971465541815878
14897,Low Risk,Low Risk,0.2963338317945812
14910,Low Risk,Low Risk,0.0498650612170561
14913,Low Risk,Low Risk,0.0768738364032051
14943,Low Risk,Low Risk,0.09464030417436688
15105,Low Risk,Low Risk,0.05756401106858852
15138,Low Risk,Low Risk,0.021138426532853038
15143,Low Risk,Low Risk,0.024199605299328998
15300,Low Risk,Low Risk,0.1542368241276348
15353,Low Risk,Low Risk,0.07693012171530623
15360,Low Risk,Low Risk,0.23308322815676946
15439,Low Risk,Low Risk,0.0198049930994196
15477,Low Risk,Low Risk,0.02425096092469777
15527,Low Risk,Low Risk,0.0629374772286537
15531,Low Risk,Low Risk,0.32304276382221303
15536,Low Risk,Low Risk,0.1032851070448391
1556,High Risk,High Risk,0.8338775126662127
15574,Low Risk,Low Risk,0.12347791554566127
15583,Low Risk,Low Risk,0.10202314862287228
15592,Low Risk,Low Risk,0.1442669991230463
15641,Low Risk,Low Risk,0.024403610271715625
15734,Low Risk,Low Risk,0.08204550512811863
15744,Low Risk,Low Risk,0.026998503978534937
15806,Low Risk,Low Risk,0.020885943526651348
15837,Low Risk,Low Risk,0.009420704288809648
15880,Low Risk,Low Risk,0.04870979459563701
15935,Low Risk,Low Risk,0.0471958086123193
15951,Low Risk,Low Risk,0.08804516707247484
15955,Low Risk,Low Risk,0.15684087960210571
15975,Low Risk,Low Risk,0.013976523562436876
15989,Low Risk,Low Risk,0.27725150397597714
15992,Low Risk,Low Risk,0.07624241256728069
1602,Low Risk,Low Risk,0.011933506667726291
16138,Low Risk,Low Risk,0.029282638139564637
16248,Low Risk,Low Risk,0.022661143760867457
16350,Low Risk,Low Risk,0.2956894801291088
16377,Low Risk,Low Risk,0.08204550512811863
16499,Low Risk,Low Risk,0.006316998236090436
16562,Low Risk,Low Risk,0.05622674948350641
16613,Low Risk,Low Risk,0.04853172788372276
1669,High Risk,Low Risk,0.41005311012807893
16871,Low Risk,Low Risk,0.2669872596986841
16892,Low Risk,Low Risk,0.024199605299328998
16961,Low Risk,Low Risk,0.15374145414385001
17016,Low Risk,Low Risk,0.009393921313013514
1702,Low Risk,Low Risk,0.083816273351307
17026,Low Risk,Low Risk,0.04628555217139459
1705,High Risk,High Risk,0.6658157764801742
1713,Low Risk,Low Risk,0.16270908735063214
1717,Low Risk,Low Risk,0.07423192745902477
1722,Low Risk,Low Risk,0.2549949830644568
17343,Low Risk,Low Risk,0.056403644630741934
17370,High Risk,Low Risk,0.4672944301208918
17388,Low Risk,Low Risk,0.28241754442516703
1777,High Risk,Low Risk,0.14740832162064652
1787,Low Risk,Low Risk,0.006003556834263613
1804,Low Risk,Low Risk,0.08557239525305661
1820,Low Risk,Low Risk,0.1146096982896918
1865,High Risk,Low Risk,0.40955262740315057
1916,Low Risk,Low Risk,0.1608270749585854
1937,Low Risk,Low Risk,0.13714389445616748
1944,Low Risk,Low Risk,0.06059181172603135
1954,Low Risk,Low Risk,0.011634358320271631
1957,Low Risk,Low Risk,0.11296196680796236
